Policy_ID,Device_Type,Brand,Retail_Price,Plan_Duration,Vendor,Region,Customer_Age,Sales_Channel,Claim_Made,Claim_Cost,Plan_Price,Age_Band,Predicted_Claim_Frequency,Predicted_Claim_Severity,Technical_Premium
P000014,Refrigerator,Samsung,202.55,24,AO.com,North West,38,Online,0,0.0,21.5,36-45,0.1875635405389197,77.8211579175051,14.59641190784564
P000015,Charger,Anker,146.19,24,Argos,South East,43,Marketplace,1,21.78,17.4,36-45,0.2723943572729715,65.42376430990187,17.82106422957409
P000016,Headphones,Sony,115.66,36,Currys,West Midlands,42,Marketplace,1,28.76,11.07,36-45,0.2951703729066411,60.93302497865197,17.98562370527838
P000017,Laptop,Apple,461.17,12,Currys,West Midlands,41,In-store,0,0.0,39.19,36-45,0.3339477499323143,77.8211579175051,25.988200583678136
P000018,Laptop,HP,309.33,12,Amazon UK,London,52,Marketplace,1,86.39,24.78,46-55,0.2873856483089902,137.38047239387308,39.48117612390855
P000019,Tablet,Apple,49.18,24,AO.com,South East,65,Online,0,0.0,11.74,56-65,0.1181485246749111,77.8211579175051,9.194454996446506
P000020,Headphones,Beats,321.22,36,Argos,London,61,Online,0,0.0,31.19,56-65,0.1855246144547095,77.8211579175051,14.437740319064197
P000021,Tablet,Apple,192.8,24,John Lewis,Wales,54,Marketplace,1,77.19,19.9,46-55,0.1457765123371854,64.88184845488789,9.458249581743356
P000022,Charger,Anker,273.61,24,Currys,North West,31,Online,0,0.0,16.29,26-35,0.2938106726041441,77.8211579175051,22.86468675057549
P000023,Charger,Belkin,282.19,12,AO.com,South East,59,Online,0,0.0,25.2,56-65,0.1325646981195886,77.8211579175051,10.316338306650897
P000024,Phone,Samsung,388.66,24,John Lewis,Scotland,66,In-store,0,0.0,34.92,66+,0.119767233664875,77.8211579175051,9.320424804376971
P000025,Laptop,Lenovo,401.9,12,Currys,Wales,40,In-store,0,0.0,28.88,36-45,0.3177101177846436,77.8211579175051,24.724569248107894
P000026,Laptop,Lenovo,419.03,24,Amazon UK,Wales,30,Online,0,0.0,31.91,26-35,0.3950465280157404,77.8211579175051,30.74297824147504
P000027,Phone,Apple,349.82,24,Currys,Wales,19,Marketplace,1,83.6,28.54,18-25,0.2742901938955767,116.6253163262304,31.9891806282547
P000028,Tablet,Samsung,51.76,12,Currys,North West,37,In-store,1,20.0,12.74,36-45,0.2852879861285302,49.229584437986375,14.044609002257562
P000029,Refrigerator,Bosch,217.56,24,AO.com,Scotland,45,Marketplace,0,0.0,19.45,36-45,0.2940216898569197,77.8211579175051,22.881108357527054
P000030,Tablet,Samsung,246.1,36,AO.com,North West,44,Online,0,0.0,23.12,36-45,0.2598617899138989,77.8211579175051,20.222745389615064
P000031,Refrigerator,Whirlpool,226.11,12,Argos,South East,56,In-store,0,0.0,16.9,56-65,0.1731998550571079,77.8211579175051,13.478613271688188
P000032,Washing Machine,Whirlpool,494.37,24,John Lewis,London,50,Marketplace,0,0.0,40.96,46-55,0.185624095083275,77.8211579175051,14.445482016769526
P000033,Phone,Apple,383.39,12,John Lewis,West Midlands,49,Marketplace,0,0.0,29.01,46-55,0.1588699075883502,77.8211579175051,12.363440166772444
P000034,TV,LG,340.4,12,Amazon UK,London,66,In-store,0,0.0,31.28,66+,0.0986393426244726,77.8211579175051,7.676227859257975
P000035,Laptop,HP,294.54,36,Argos,Scotland,20,Marketplace,0,0.0,25.8,18-25,0.5381894542766086,77.8211579175051,41.88252651079585
P000036,Tablet,Samsung,446.32,24,Amazon UK,South East,40,Marketplace,0,0.0,35.67,36-45,0.3116922282343644,77.8211579175051,24.256250115085514
P000037,Laptop,HP,430.15,24,John Lewis,London,19,Marketplace,0,0.0,41.01,18-25,0.4778668806718752,77.8211579175051,37.18815398431157
P000038,Laptop,Apple,206.01,36,Argos,Scotland,21,Marketplace,0,0.0,15.46,18-25,0.4801133678950647,77.8211579175051,37.362978221267056
P000039,Refrigerator,Whirlpool,133.18,24,Currys,North West,55,Marketplace,0,0.0,18.54,46-55,0.1946408669771626,77.8211579175051,15.147177646229874
P000040,Headphones,Beats,339.23,12,Currys,West Midlands,28,Online,1,86.75,29.88,26-35,0.3705444177451334,58.329913721310064,21.613823916986707
P000041,Phone,OnePlus,593.38,24,John Lewis,Wales,20,In-store,0,0.0,46.78,18-25,0.3507473485360742,77.8211579175051,27.295564799572034
P000042,Charger,Anker,44.93,12,John Lewis,Scotland,49,In-store,0,0.0,8.35,46-55,0.1957389720454142,77.8211579175051,15.232633454156296
P000043,Laptop,Apple,385.65,12,Amazon UK,London,56,Online,1,139.49,30.83,56-65,0.1970387915653555,131.3753445301297,25.886039127698993
P000044,Washing Machine,LG,111.45,24,Currys,South East,42,Marketplace,0,0.0,18.42,36-45,0.2080908167492643,77.8211579175051,16.193868311427114
P000045,Tablet,Amazon,239.64,24,John Lewis,West Midlands,24,In-store,0,0.0,22.46,18-25,0.3720470312359811,77.8211579175051,28.95313077055424
P000046,Headphones,Sony,330.71,12,John Lewis,Wales,66,In-store,0,0.0,28.93,66+,0.1039627313373369,77.8211579175051,8.090500132938052
P000047,Phone,Samsung,478.18,36,Amazon UK,London,26,Marketplace,0,0.0,40.92,26-35,0.3837958985451731,77.8211579175051,29.867441228774684
P000048,Phone,OnePlus,447.17,36,AO.com,Wales,37,In-store,1,161.77,39.95,36-45,0.2460660124559101,116.41010779917916,28.644571035706655
P000049,TV,Panasonic,222.63,36,John Lewis,South East,52,In-store,0,0.0,23.13,46-55,0.1795763846299488,77.8211579175051,13.974842186541881
P000050,Laptop,Dell,301.46,36,Amazon UK,Wales,19,Marketplace,1,57.46,22.53,18-25,0.4035552467654676,116.31489032846538,46.93948426900215
P000051,Washing Machine,Bosch,265.66,12,AO.com,Scotland,50,Marketplace,0,0.0,19.61,46-55,0.2102516362241787,77.8211579175051,16.362025785015646
P000052,Washing Machine,LG,197.47,36,John Lewis,London,25,Marketplace,1,75.47,24.51,18-25,0.284075520054496,55.83545131351701,15.861484869364837
P000053,Laptop,Apple,375.46,12,AO.com,North West,39,In-store,0,0.0,29.02,36-45,0.2739784776147158,77.8211579175051,21.321322372452432
P000054,Washing Machine,Bosch,192.29,36,Currys,West Midlands,25,Marketplace,0,0.0,19.48,18-25,0.4227090741522972,77.8211579175051,32.89570961276829
P000055,Refrigerator,Whirlpool,201.3,36,Argos,London,45,In-store,0,0.0,23.45,36-45,0.2947956382011758,77.8211579175051,22.941337913845405
P000056,Phone,Apple,362.69,12,John Lewis,South East,65,Online,0,0.0,31.9,56-65,0.1153542186412847,77.8211579175051,8.976998865333828
P000057,Charger,Anker,204.2,24,Argos,London,34,Marketplace,1,58.46,13.94,26-35,0.346120120964022,64.50582272854261,22.326763165686927
P000058,Charger,Apple,175.69,24,AO.com,South East,23,Marketplace,0,0.0,18.72,18-25,0.3546411745933951,77.8211579175051,27.5985868520821
P000059,Washing Machine,Bosch,192.72,12,AO.com,Wales,52,Online,1,53.63,17.06,46-55,0.1897826022564019,71.48700661880845,13.566990143638094
P000060,Washing Machine,LG,139.06,24,Argos,Wales,20,In-store,0,0.0,12.29,18-25,0.2953770632292561,77.8211579175051,22.98658508277283
P000061,TV,Panasonic,271.01,24,Amazon UK,South East,20,Marketplace,0,0.0,24.25,18-25,0.3550882657996386,77.8211579175051,27.6333800074467
P000062,Refrigerator,Bosch,223.1,24,Currys,North West,39,Online,0,0.0,18.19,36-45,0.2821171640578777,77.8211579175051,21.954684375386794
P000063,Washing Machine,Whirlpool,114.48,12,Amazon UK,Wales,43,Online,0,0.0,9.93,36-45,0.2370566376504053,77.8211579175051,18.448022033984977
P000064,Phone,Google,508.31,36,AO.com,North West,65,Marketplace,0,0.0,43.74,56-65,0.1455144446935222,77.8211579175051,11.324102579772655
P000065,TV,Samsung,133.31,36,Currys,West Midlands,67,Marketplace,0,0.0,9.26,66+,0.0945825652537352,77.8211579175051,7.360524746853659
P000066,Headphones,Sony,202.39,12,AO.com,Scotland,53,In-store,0,0.0,21.78,46-55,0.2098511938667187,77.8211579175051,16.330862897078894
P000067,Tablet,Apple,333.09,36,John Lewis,London,33,In-store,0,0.0,31.28,26-35,0.2561570621761335,77.8211579175051,19.93443918729306
P000068,TV,LG,43.94,24,Currys,North West,39,Online,0,0.0,14.08,36-45,0.2034844847727162,77.8211579175051,15.835398223259709
P000069,Washing Machine,Whirlpool,214.98,12,Amazon UK,London,66,Marketplace,0,0.0,20.47,66+,0.1094801627908719,77.8211579175051,8.51987303738261
P000070,Charger,Anker,152.81,12,Currys,Wales,54,In-store,0,0.0,18.96,46-55,0.1905540334353065,77.8211579175051,14.829135527786535
P000071,Phone,Samsung,328.47,12,Currys,West Midlands,22,Marketplace,0,0.0,30.03,18-25,0.4396158527865248,77.8211579175051,34.21141470273882
P000072,Refrigerator,Samsung,160.86,12,Amazon UK,West Midlands,47,Marketplace,0,0.0,17.57,46-55,0.1848451537356815,77.8211579175051,14.384863899149979
P000073,Washing Machine,Whirlpool,336.34,24,Currys,South East,30,Marketplace,1,128.78,24.62,26-35,0.3063331578966172,56.121973725291525,17.19202143865953
P000074,Washing Machine,Whirlpool,20.0,36,Currys,West Midlands,43,Online,0,0.0,4.08,36-45,0.2591152298666702,77.8211579175051,20.164647222284774
P000075,Laptop,Lenovo,566.13,36,AO.com,London,18,Online,0,0.0,43.67,18-25,0.4471744183709071,77.8211579175051,34.799631028710856
P000076,Charger,Apple,179.54,12,Argos,London,42,Online,0,0.0,18.7,36-45,0.2882677368340141,77.8211579175051,22.433329070681612
P000077,Washing Machine,Bosch,365.14,24,Argos,North West,39,In-store,0,0.0,30.82,36-45,0.280480438337143,77.8211579175051,21.827312484605855
P000078,TV,Panasonic,140.71,12,Argos,Scotland,68,Online,0,0.0,16.18,66+,0.1093731975097825,77.8211579175051,8.51154887535126
P000079,Headphones,Sony,277.46,36,Currys,London,29,Online,0,0.0,26.52,26-35,0.3500058233064392,77.8211579175051,27.237858447576794
P000080,Phone,Google,459.99,36,Amazon UK,South East,53,In-store,0,0.0,31.21,46-55,0.2238665560888378,77.8211579175051,17.42155461383746
P000081,Refrigerator,Samsung,69.98,36,John Lewis,South East,27,Marketplace,1,20.0,11.47,26-35,0.2537042615466249,56.61442338057936,14.363320476657861
P000082,Laptop,HP,718.7,36,AO.com,London,62,Online,0,0.0,55.56,56-65,0.2000009710626446,77.8211579175051,15.564307152720435
P000083,Charger,Belkin,219.91,12,Argos,South East,66,Marketplace,0,0.0,18.59,66+,0.1051109816049643,77.8211579175051,8.1798582983439
P000084,TV,LG,317.24,24,John Lewis,Scotland,29,Online,0,0.0,28.8,26-35,0.260884297940839,77.8211579175051,20.302318148251484
P000085,Headphones,Bose,138.49,12,John Lewis,West Midlands,68,In-store,0,0.0,21.03,66+,0.1119262321495433,77.8211579175051,8.710228987220946
P000086,Charger,Apple,313.7,24,Currys,London,57,Marketplace,1,108.13,27.8,56-65,0.1670470382282656,50.13187930909518,8.374381959401221
P000087,Charger,Belkin,137.73,36,AO.com,Scotland,34,Online,0,0.0,19.31,26-35,0.2794395408222787,77.8211579175051,21.74630863472566
P000088,TV,Sony,101.88,24,AO.com,Scotland,51,In-store,0,0.0,17.99,46-55,0.1908372870348126,77.8211579175051,14.8511786508844
P000089,Laptop,Dell,395.99,24,Currys,London,67,In-store,0,0.0,33.81,66+,0.127777119989999,77.8211579175051,9.94376343298571
P000090,Washing Machine,LG,258.13,24,John Lewis,West Midlands,38,Online,1,20.22,27.24,36-45,0.2042280030002854,55.44659723865214,11.323747827211065
P000091,TV,Panasonic,387.04,24,Argos,South East,52,Online,0,0.0,37.16,46-55,0.1973515694139401,77.8211579175051,15.358127648629704
P000092,Charger,Anker,327.77,36,John Lewis,Wales,41,Online,1,78.94,23.34,36-45,0.2252925124947942,62.0221279053731,13.973121026074994
P000093,Headphones,Bose,236.31,12,John Lewis,Scotland,30,Online,1,56.08,17.52,26-35,0.3151203120778576,63.88489018316705,20.131426531579265
P000094,Refrigerator,Samsung,167.4,12,John Lewis,London,42,Marketplace,0,0.0,26.48,36-45,0.2109900679886946,77.8211579175051,16.419491399973342
P000095,Phone,Samsung,376.08,12,Argos,London,29,Online,1,144.94,30.09,26-35,0.3887746166508378,107.96537596682002,41.97419765306403
P000096,Tablet,Samsung,298.4,36,Argos,Wales,45,Online,1,92.41,27.67,36-45,0.297167479041607,55.533054978110776,16.502617951324144
P000097,Charger,Apple,118.18,12,John Lewis,North West,52,Online,0,0.0,19.55,46-55,0.1805023577700334,77.8211579175051,14.046902488503774
P000098,Headphones,Beats,55.93,24,Currys,North West,40,In-store,1,20.0,14.36,36-45,0.2700051290829876,55.29521003751277,14.929990323849548
P000099,Refrigerator,Bosch,240.46,12,John Lewis,South East,64,In-store,0,0.0,23.67,56-65,0.1755027277033724,77.8211579175051,13.657825487557043
P000100,Washing Machine,Bosch,335.79,36,Amazon UK,London,55,Marketplace,0,0.0,27.21,46-55,0.2317454430094683,77.8211579175051,18.034698717102014
P000101,Washing Machine,Bosch,220.38,24,AO.com,North West,67,In-store,1,67.09,16.9,66+,0.1034411845484242,71.65416388386642,7.4119915899740585
P000102,Charger,Apple,244.55,24,Amazon UK,North West,62,Marketplace,0,0.0,17.73,56-65,0.1558448421395777,77.8211579175051,12.12802607077273
P000103,Washing Machine,Bosch,128.16,24,John Lewis,London,61,Online,0,0.0,13.33,56-65,0.1624941739222194,77.8211579175051,12.645484769475576
P000104,Phone,Google,485.77,36,Currys,Wales,56,Online,0,0.0,38.52,56-65,0.1557828625197132,77.8211579175051,12.123202744987589
P000105,Charger,Apple,142.58,12,AO.com,South East,37,Online,0,0.0,10.5,36-45,0.2476087150368232,77.8211579175051,19.269196914631138
P000106,Refrigerator,Bosch,232.27,24,Currys,Scotland,18,Marketplace,1,50.47,19.64,18-25,0.4464840364249079,70.20064740171009,31.343468411557243
P000107,Phone,Google,258.0,36,Argos,Wales,66,Online,0,0.0,15.37,66+,0.1136727826991275,77.8211579175051,8.846147573351043
P000108,Headphones,Sony,314.27,12,Argos,London,61,In-store,1,34.67,28.8,56-65,0.1845605759179493,57.00616746532696,10.521091098275809
P000109,Tablet,Amazon,183.19,24,John Lewis,South East,36,In-store,1,60.18,24.65,36-45,0.2484439559982584,59.44784784997093,14.769458495429337
P000110,TV,LG,240.62,12,Currys,South East,31,In-store,0,0.0,26.15,26-35,0.2759997843328055,77.8211579175051,21.478622801760608
P000111,Refrigerator,Bosch,129.83,24,Currys,Scotland,28,Online,0,0.0,20.66,26-35,0.3853274518745995,77.8211579175051,29.986628482283056
P000112,Charger,Apple,119.17,24,John Lewis,Wales,25,Marketplace,0,0.0,9.71,18-25,0.3362996798051264,77.8211579175051,26.171230489721143
P000113,Tablet,Apple,358.91,36,Amazon UK,North West,67,Online,0,0.0,26.15,66+,0.0841082070185596,77.8211579175051,6.545398060549538
P000114,Tablet,Apple,122.88,24,AO.com,Wales,44,In-store,0,0.0,7.86,36-45,0.1883197046412441,77.8211579175051,14.655257473864175
P000115,Headphones,Bose,236.25,12,Currys,Scotland,37,In-store,0,0.0,19.6,36-45,0.2777861875258864,77.8211579175051,21.617642766753693
P000116,Refrigerator,Samsung,159.64,24,Amazon UK,West Midlands,52,Online,1,26.82,21.67,46-55,0.1825862379368127,63.38313558046717,11.572888274276437
P000117,Refrigerator,Bosch,317.94,24,AO.com,West Midlands,49,In-store,1,80.47,31.37,46-55,0.2369694934872254,72.52603746301266,17.18645836224564
P000118,Washing Machine,LG,132.22,36,Currys,West Midlands,42,In-store,1,43.31,15.09,36-45,0.2225342105480464,48.96792067791723,10.897037570239668
P000119,Refrigerator,Whirlpool,20.0,36,John Lewis,West Midlands,18,Marketplace,0,0.0,3.7,18-25,0.3781483825148781,77.8211579175051,29.427944991939455
P000120,Charger,Apple,221.87,12,AO.com,London,22,Marketplace,1,55.81,20.55,18-25,0.3645613733538629,59.46838563641078,21.67987633874705
P000121,Washing Machine,LG,204.7,24,Argos,Scotland,54,Online,0,0.0,17.4,46-55,0.1733918676669492,77.8211579175051,13.493555915320801
P000122,Tablet,Samsung,335.6,24,AO.com,West Midlands,38,In-store,0,0.0,24.39,36-45,0.3018275147812424,77.8211579175051,23.48856669163917
P000123,Headphones,Beats,253.55,36,Currys,Wales,66,Marketplace,0,0.0,22.74,66+,0.1127104312600866,77.8211579175051,8.771256270041304
P000124,Charger,Apple,157.4,36,Argos,West Midlands,20,In-store,0,0.0,16.53,18-25,0.4295182725958262,77.8211579175051,33.425609320133795
P000125,Headphones,Bose,315.32,12,Currys,Scotland,22,In-store,0,0.0,28.31,18-25,0.3930011754034314,77.8211579175051,30.583806532835556
P000126,Phone,Apple,534.21,36,Argos,North West,64,Online,0,0.0,44.18,56-65,0.1208620711638222,77.8211579175051,9.405626326276547
P000127,Tablet,Amazon,321.28,24,AO.com,London,28,Online,0,0.0,30.66,26-35,0.3063373276430065,77.8211579175051,23.83952555053291
P000128,Refrigerator,Bosch,24.13,12,AO.com,Scotland,47,Online,0,0.0,7.44,46-55,0.2254390958181525,77.8211579175051,17.54393147644401
P000129,Headphones,Beats,154.62,12,Argos,London,55,Online,0,0.0,15.03,46-55,0.2384423892707036,77.8211579175051,18.55586282966265
P000130,Tablet,Apple,253.48,36,AO.com,London,59,Marketplace,1,75.67,25.13,56-65,0.1229560283022079,65.95025186274955,8.108981034573974
P000131,Laptop,Dell,371.86,24,Amazon UK,London,51,Marketplace,0,0.0,26.04,46-55,0.2418318232487928,77.8211579175051,18.819632506522485
P000132,Laptop,HP,285.19,12,Argos,Wales,60,In-store,0,0.0,23.16,56-65,0.2121165982848094,77.8211579175051,16.507159292046143
P000133,Washing Machine,LG,236.66,36,John Lewis,London,57,In-store,0,0.0,18.75,56-65,0.1225226098552031,77.8211579175051,9.534851370006628
P000134,Tablet,Samsung,299.71,12,Argos,Wales,44,In-store,0,0.0,25.27,36-45,0.3039477783406075,77.8211579175051,23.65356805691925
P000135,Headphones,Bose,155.33,24,Currys,South East,36,Marketplace,1,39.21,12.03,36-45,0.2669514535534755,62.462143326748745,16.674359953141096
P000136,Tablet,Apple,69.84,36,AO.com,London,39,Online,0,0.0,9.57,36-45,0.2010952591304633,77.8211579175051,15.649465917253394
P000137,Phone,Samsung,296.48,12,AO.com,North West,43,In-store,1,77.84,23.3,36-45,0.2575643400098596,103.39434441781998,26.630696080727915
P000138,Phone,OnePlus,337.48,12,John Lewis,Scotland,64,In-store,0,0.0,27.8,56-65,0.1638559133348918,77.8211579175051,12.751456907351645
P000139,Tablet,Apple,285.14,12,Argos,Scotland,66,In-store,0,0.0,23.1,66+,0.0974825463842485,77.8211579175051,7.586204636369119
P000140,Tablet,Samsung,202.38,24,AO.com,West Midlands,39,Marketplace,0,0.0,20.11,36-45,0.2987453559831954,77.8211579175051,23.248709525089527
P000141,Charger,Belkin,219.21,12,Currys,West Midlands,19,Online,1,100.77,22.07,18-25,0.352803344405777,67.89183962060692,23.952468076010756
P000142,Phone,Samsung,431.13,12,Argos,London,63,In-store,0,0.0,31.67,56-65,0.1942926249445773,77.8211579175051,15.120077048018542
P000143,Refrigerator,Samsung,34.09,12,AO.com,London,42,In-store,0,0.0,8.17,36-45,0.2115729364640389,77.8211579175051,16.464850899638247
P000144,Charger,Apple,70.9,12,John Lewis,North West,34,Online,0,0.0,7.64,26-35,0.2874353849799539,77.8211579175051,22.36855448560387
P000145,TV,Sony,164.92,24,Amazon UK,North West,34,Marketplace,0,0.0,10.01,26-35,0.3006219873848226,77.8211579175051,23.394751153748505
P000146,Charger,Apple,160.9,12,AO.com,London,58,In-store,0,0.0,16.5,56-65,0.157236395825813,77.8211579175051,12.236318389939933
P000147,Laptop,Apple,313.87,36,Amazon UK,North West,51,Marketplace,0,0.0,31.41,46-55,0.2324661336401723,77.8211579175051,18.090783696483694
P000148,Headphones,Sony,398.61,36,John Lewis,North West,59,In-store,0,0.0,37.09,56-65,0.1488798369180962,77.8211579175051,11.586001299535571
P000149,Refrigerator,Samsung,69.04,24,Currys,Scotland,51,Marketplace,0,0.0,3.6,46-55,0.1748134741569932,77.8211579175051,13.604186978479065
P000150,Washing Machine,Whirlpool,197.85,36,Currys,North West,50,In-store,0,0.0,17.0,46-55,0.1811597936293222,77.8211579175051,14.098064908330118
P000151,Washing Machine,LG,74.12,36,Currys,North West,65,Online,0,0.0,8.41,56-65,0.115714650704176,77.8211579175051,9.005048105818624
P000152,Charger,Apple,113.6,24,Argos,London,48,In-store,0,0.0,15.34,46-55,0.2288672360166598,77.8211579175051,17.810713316195393
P000153,Washing Machine,Whirlpool,214.52,36,Argos,South East,32,In-store,1,48.82,18.42,26-35,0.3265554419636846,55.256856318221566,18.04442713652066
P000154,Headphones,Beats,252.83,12,AO.com,South East,32,In-store,0,0.0,23.32,26-35,0.3335864474010883,77.8211579175051,25.9600836023396
P000155,Charger,Apple,324.2,12,Amazon UK,Wales,22,Marketplace,0,0.0,27.44,18-25,0.368619161509047,77.8211579175051,28.686369979213865
P000156,Laptop,Lenovo,323.67,24,AO.com,Wales,50,In-store,0,0.0,22.24,46-55,0.2297616672732429,77.8211579175051,17.8803189922603
P000157,Headphones,Beats,384.7,24,John Lewis,Wales,31,In-store,0,0.0,32.73,26-35,0.3163338706424557,77.8211579175051,24.617468101922178
P000158,Charger,Anker,86.09,24,Currys,Scotland,53,In-store,0,0.0,11.83,46-55,0.2085264282514377,77.8211579175051,16.22776810292843
P000159,Refrigerator,Samsung,27.04,36,Argos,London,27,Online,0,0.0,10.62,26-35,0.2895731448790352,77.8211579175051,22.53491743629998
P000160,Washing Machine,Whirlpool,59.98,12,Currys,London,57,In-store,0,0.0,9.89,56-65,0.155451131823734,77.8211579175051,12.097387078109707
P000161,Washing Machine,Whirlpool,283.57,24,Currys,North West,34,Online,0,0.0,21.46,26-35,0.282046994430884,77.8211579175051,21.949223693763507
P000162,Washing Machine,Whirlpool,438.99,24,John Lewis,West Midlands,52,In-store,0,0.0,33.92,46-55,0.1931064255481313,77.8211579175051,15.027765637466068
P000163,Washing Machine,LG,216.97,36,Amazon UK,South East,29,Marketplace,0,0.0,20.46,26-35,0.2646475097257875,77.8211579175051,20.595175646844975
P000164,Tablet,Samsung,218.35,12,AO.com,South East,46,Marketplace,0,0.0,21.34,46-55,0.2190810684535081,77.8211579175051,17.0491424248562
P000165,Washing Machine,LG,140.55,12,Argos,South East,47,Online,1,50.43,13.12,46-55,0.1683480274531766,59.46542501479314,10.010887002905209
P000166,Washing Machine,Bosch,131.93,12,Currys,North West,31,Marketplace,0,0.0,16.85,26-35,0.3252272335458001,77.8211579175051,25.30955990084102
P000167,Laptop,Dell,367.4,36,AO.com,Scotland,42,Marketplace,0,0.0,36.04,36-45,0.2826517888891022,77.8211579175051,21.996289498804135
P000168,TV,Samsung,160.16,24,AO.com,London,49,Online,0,0.0,19.37,46-55,0.1570989756607093,77.8211579175051,12.225624193570349
P000169,Laptop,HP,315.65,24,Argos,West Midlands,32,In-store,0,0.0,23.46,26-35,0.4882276875122228,77.8211579175051,37.994443969587024
P000170,Washing Machine,Whirlpool,38.66,36,AO.com,Wales,19,Online,0,0.0,8.41,18-25,0.3036856744981505,77.8211579175051,23.63317083240462
P000171,Tablet,Samsung,277.09,36,AO.com,South East,68,Marketplace,0,0.0,28.04,66+,0.1178838964428298,77.8211579175051,9.173861321008276
P000172,TV,Sony,111.91,24,AO.com,North West,59,Online,0,0.0,14.36,56-65,0.1313803509114068,77.8211579175051,10.224171035533823
P000173,Phone,OnePlus,524.73,24,AO.com,Scotland,69,Online,0,0.0,44.22,66+,0.1099604280338912,77.8211579175051,8.557247834701903
P000174,Headphones,Beats,300.99,12,AO.com,Scotland,44,In-store,0,0.0,26.28,36-45,0.2779597072737399,77.8211579175051,21.631146274453208
P000175,Phone,Apple,352.23,24,Amazon UK,London,27,Online,0,0.0,28.44,26-35,0.2660147445415105,77.8211579175051,20.701575443349665
P000176,TV,LG,226.05,24,Amazon UK,London,30,In-store,0,0.0,24.68,26-35,0.2919159932902547,77.8211579175051,22.717240612486272
P000177,Charger,Apple,155.54,24,AO.com,Scotland,22,In-store,0,0.0,20.13,18-25,0.3690349631689388,77.8211579175051,28.718728145850665
P000178,Headphones,Bose,152.64,24,John Lewis,Scotland,44,Marketplace,0,0.0,16.93,36-45,0.2580888135608713,77.8211579175051,20.0847703168621
P000179,TV,Panasonic,387.68,36,John Lewis,North West,60,Marketplace,0,0.0,28.6,56-65,0.1289071860479314,77.8211579175051,10.03170648213728
P000180,TV,LG,131.97,36,Amazon UK,South East,40,In-store,0,0.0,14.78,36-45,0.2297360498676857,77.8211579175051,17.878325416096995
P000181,TV,LG,464.36,12,John Lewis,Scotland,42,In-store,0,0.0,39.44,36-45,0.2158730307427374,77.8211579175051,16.799489215561
P000182,Laptop,Dell,556.47,24,Currys,Scotland,61,Online,0,0.0,45.4,56-65,0.180993525812523,77.8211579175051,14.085125754302389
P000183,Tablet,Samsung,222.39,24,AO.com,Wales,25,In-store,0,0.0,18.76,18-25,0.3796938458584549,77.8211579175051,29.54821473885566
P000184,Phone,Apple,530.18,24,Argos,London,26,Marketplace,0,0.0,42.66,26-35,0.2761743486394996,77.8211579175051,21.492207598238608
P000185,Laptop,Dell,410.01,36,AO.com,South East,39,Online,1,109.5,32.29,36-45,0.2710759681859706,125.87370110920271,34.1213353973286
P000186,Refrigerator,Bosch,159.75,12,Argos,West Midlands,40,In-store,1,41.07,16.35,36-45,0.3457412234585482,68.09513786855578,23.543296278252992
P000187,Phone,Google,509.42,12,AO.com,London,57,In-store,0,0.0,44.85,56-65,0.1621353709823175,77.8211579175051,12.617562309228205
