Policy_ID,Device_Type,Brand,Retail_Price,Plan_Duration,Vendor,Region,Customer_Age,Sales_Channel,Claim_Made,Claim_Cost,Plan_Price,Age_Band
P000027,Phone,Apple,349.82,24,Currys,Wales,19,Marketplace,1,83.6,28.54,18-25
P000028,Tablet,Samsung,51.76,12,Currys,North West,37,In-store,1,20.0,12.74,36-45
P000029,Refrigerator,Bosch,217.56,24,AO.com,Scotland,45,Marketplace,0,0.0,19.45,36-45
P000030,Tablet,Samsung,246.1,36,AO.com,North West,44,Online,0,0.0,23.12,36-45
P000031,Refrigerator,Whirlpool,226.11,12,Argos,South East,56,In-store,0,0.0,16.9,56-65
P000032,Washing Machine,Whirlpool,494.37,24,John Lewis,London,50,Marketplace,0,0.0,40.96,46-55
P000033,Phone,Apple,383.39,12,John Lewis,West Midlands,49,Marketplace,0,0.0,29.01,46-55
P000034,TV,LG,340.4,12,Amazon UK,London,66,In-store,0,0.0,31.28,66+
P000035,Laptop,HP,294.54,36,Argos,Scotland,20,Marketplace,0,0.0,25.8,18-25
P000036,Tablet,Samsung,446.32,24,Amazon UK,South East,40,Marketplace,0,0.0,35.67,36-45
P000037,Laptop,HP,430.15,24,John Lewis,London,19,Marketplace,0,0.0,41.01,18-25
P000038,Laptop,Apple,206.01,36,Argos,Scotland,21,Marketplace,0,0.0,15.46,18-25
P000039,Refrigerator,Whirlpool,133.18,24,Currys,North West,55,Marketplace,0,0.0,18.54,46-55
P000040,Headphones,Beats,339.23,12,Currys,West Midlands,28,Online,1,86.75,29.88,26-35
P000041,Phone,OnePlus,593.38,24,John Lewis,Wales,20,In-store,0,0.0,46.78,18-25
P000042,Charger,Anker,44.93,12,John Lewis,Scotland,49,In-store,0,0.0,8.35,46-55
P000043,Laptop,Apple,385.65,12,Amazon UK,London,56,Online,1,139.49,30.83,56-65
P000044,Washing Machine,LG,111.45,24,Currys,South East,42,Marketplace,0,0.0,18.42,36-45
P000045,Tablet,Amazon,239.64,24,John Lewis,West Midlands,24,In-store,0,0.0,22.46,18-25
P000046,Headphones,Sony,330.71,12,John Lewis,Wales,66,In-store,0,0.0,28.93,66+
P000047,Phone,Samsung,478.18,36,Amazon UK,London,26,Marketplace,0,0.0,40.92,26-35
P000048,Phone,OnePlus,447.17,36,AO.com,Wales,37,In-store,1,161.77,39.95,36-45
P000049,TV,Panasonic,222.63,36,John Lewis,South East,52,In-store,0,0.0,23.13,46-55
P000050,Laptop,Dell,301.46,36,Amazon UK,Wales,19,Marketplace,1,57.46,22.53,18-25
P000051,Washing Machine,Bosch,265.66,12,AO.com,Scotland,50,Marketplace,0,0.0,19.61,46-55
P000052,Washing Machine,LG,197.47,36,John Lewis,London,25,Marketplace,1,75.47,24.51,18-25
P000053,Laptop,Apple,375.46,12,AO.com,North West,39,In-store,0,0.0,29.02,36-45
P000054,Washing Machine,Bosch,192.29,36,Currys,West Midlands,25,Marketplace,0,0.0,19.48,18-25
P000055,Refrigerator,Whirlpool,201.3,36,Argos,London,45,In-store,0,0.0,23.45,36-45
P000056,Phone,Apple,362.69,12,John Lewis,South East,65,Online,0,0.0,31.9,56-65
P000057,Charger,Anker,204.2,24,Argos,London,34,Marketplace,1,58.46,13.94,26-35
P000058,Charger,Apple,175.69,24,AO.com,South East,23,Marketplace,0,0.0,18.72,18-25
P000059,Washing Machine,Bosch,192.72,12,AO.com,Wales,52,Online,1,53.63,17.06,46-55
P000060,Washing Machine,LG,139.06,24,Argos,Wales,20,In-store,0,0.0,12.29,18-25
P000061,TV,Panasonic,271.01,24,Amazon UK,South East,20,Marketplace,0,0.0,24.25,18-25
P000062,Refrigerator,Bosch,223.1,24,Currys,North West,39,Online,0,0.0,18.19,36-45
P000063,Washing Machine,Whirlpool,114.48,12,Amazon UK,Wales,43,Online,0,0.0,9.93,36-45
P000064,Phone,Google,508.31,36,AO.com,North West,65,Marketplace,0,0.0,43.74,56-65
P000065,TV,Samsung,133.31,36,Currys,West Midlands,67,Marketplace,0,0.0,9.26,66+
P000066,Headphones,Sony,202.39,12,AO.com,Scotland,53,In-store,0,0.0,21.78,46-55
P000067,Tablet,Apple,333.09,36,John Lewis,London,33,In-store,0,0.0,31.28,26-35
P000068,TV,LG,43.94,24,Currys,North West,39,Online,0,0.0,14.08,36-45
P000069,Washing Machine,Whirlpool,214.98,12,Amazon UK,London,66,Marketplace,0,0.0,20.47,66+
P000070,Charger,Anker,152.81,12,Currys,Wales,54,In-store,0,0.0,18.96,46-55
P000071,Phone,Samsung,328.47,12,Currys,West Midlands,22,Marketplace,0,0.0,30.03,18-25
P000072,Refrigerator,Samsung,160.86,12,Amazon UK,West Midlands,47,Marketplace,0,0.0,17.57,46-55
P000073,Washing Machine,Whirlpool,336.34,24,Currys,South East,30,Marketplace,1,128.78,24.62,26-35
P000074,Washing Machine,Whirlpool,20.0,36,Currys,West Midlands,43,Online,0,0.0,4.08,36-45
P000075,Laptop,Lenovo,566.13,36,AO.com,London,18,Online,0,0.0,43.67,18-25
P000076,Charger,Apple,179.54,12,Argos,London,42,Online,0,0.0,18.7,36-45
P000077,Washing Machine,Bosch,365.14,24,Argos,North West,39,In-store,0,0.0,30.82,36-45
P000078,TV,Panasonic,140.71,12,Argos,Scotland,68,Online,0,0.0,16.18,66+
P000079,Headphones,Sony,277.46,36,Currys,London,29,Online,0,0.0,26.52,26-35
P000080,Phone,Google,459.99,36,Amazon UK,South East,53,In-store,0,0.0,31.21,46-55
P000081,Refrigerator,Samsung,69.98,36,John Lewis,South East,27,Marketplace,1,20.0,11.47,26-35
P000082,Laptop,HP,718.7,36,AO.com,London,62,Online,0,0.0,55.56,56-65
P000083,Charger,Belkin,219.91,12,Argos,South East,66,Marketplace,0,0.0,18.59,66+
P000084,TV,LG,317.24,24,John Lewis,Scotland,29,Online,0,0.0,28.8,26-35
P000085,Headphones,Bose,138.49,12,John Lewis,West Midlands,68,In-store,0,0.0,21.03,66+
P000086,Charger,Apple,313.7,24,Currys,London,57,Marketplace,1,108.13,27.8,56-65
P000087,Charger,Belkin,137.73,36,AO.com,Scotland,34,Online,0,0.0,19.31,26-35
P000088,TV,Sony,101.88,24,AO.com,Scotland,51,In-store,0,0.0,17.99,46-55
P000089,Laptop,Dell,395.99,24,Currys,London,67,In-store,0,0.0,33.81,66+
P000090,Washing Machine,LG,258.13,24,John Lewis,West Midlands,38,Online,1,20.22,27.24,36-45
P000091,TV,Panasonic,387.04,24,Argos,South East,52,Online,0,0.0,37.16,46-55
P000092,Charger,Anker,327.77,36,John Lewis,Wales,41,Online,1,78.94,23.34,36-45
P000093,Headphones,Bose,236.31,12,John Lewis,Scotland,30,Online,1,56.08,17.52,26-35
P000094,Refrigerator,Samsung,167.4,12,John Lewis,London,42,Marketplace,0,0.0,26.48,36-45
P000095,Phone,Samsung,376.08,12,Argos,London,29,Online,1,144.94,30.09,26-35
P000096,Tablet,Samsung,298.4,36,Argos,Wales,45,Online,1,92.41,27.67,36-45
P000097,Charger,Apple,118.18,12,John Lewis,North West,52,Online,0,0.0,19.55,46-55
P000098,Headphones,Beats,55.93,24,Currys,North West,40,In-store,1,20.0,14.36,36-45
P000099,Refrigerator,Bosch,240.46,12,John Lewis,South East,64,In-store,0,0.0,23.67,56-65
P000100,Washing Machine,Bosch,335.79,36,Amazon UK,London,55,Marketplace,0,0.0,27.21,46-55
P000101,Washing Machine,Bosch,220.38,24,AO.com,North West,67,In-store,1,67.09,16.9,66+
P000102,Charger,Apple,244.55,24,Amazon UK,North West,62,Marketplace,0,0.0,17.73,56-65
P000103,Washing Machine,Bosch,128.16,24,John Lewis,London,61,Online,0,0.0,13.33,56-65
P000104,Phone,Google,485.77,36,Currys,Wales,56,Online,0,0.0,38.52,56-65
P000105,Charger,Apple,142.58,12,AO.com,South East,37,Online,0,0.0,10.5,36-45
P000106,Refrigerator,Bosch,232.27,24,Currys,Scotland,18,Marketplace,1,50.47,19.64,18-25
P000107,Phone,Google,258.0,36,Argos,Wales,66,Online,0,0.0,15.37,66+
P000108,Headphones,Sony,314.27,12,Argos,London,61,In-store,1,34.67,28.8,56-65
P000109,Tablet,Amazon,183.19,24,John Lewis,South East,36,In-store,1,60.18,24.65,36-45
P000110,TV,LG,240.62,12,Currys,South East,31,In-store,0,0.0,26.15,26-35
P000111,Refrigerator,Bosch,129.83,24,Currys,Scotland,28,Online,0,0.0,20.66,26-35
P000112,Charger,Apple,119.17,24,John Lewis,Wales,25,Marketplace,0,0.0,9.71,18-25
P000113,Tablet,Apple,358.91,36,Amazon UK,North West,67,Online,0,0.0,26.15,66+
P000114,Tablet,Apple,122.88,24,AO.com,Wales,44,In-store,0,0.0,7.86,36-45
P000115,Headphones,Bose,236.25,12,Currys,Scotland,37,In-store,0,0.0,19.6,36-45
P000116,Refrigerator,Samsung,159.64,24,Amazon UK,West Midlands,52,Online,1,26.82,21.67,46-55
P000117,Refrigerator,Bosch,317.94,24,AO.com,West Midlands,49,In-store,1,80.47,31.37,46-55
P000118,Washing Machine,LG,132.22,36,Currys,West Midlands,42,In-store,1,43.31,15.09,36-45
P000119,Refrigerator,Whirlpool,20.0,36,John Lewis,West Midlands,18,Marketplace,0,0.0,3.7,18-25
P000120,Charger,Apple,221.87,12,AO.com,London,22,Marketplace,1,55.81,20.55,18-25
P000121,Washing Machine,LG,204.7,24,Argos,Scotland,54,Online,0,0.0,17.4,46-55
P000122,Tablet,Samsung,335.6,24,AO.com,West Midlands,38,In-store,0,0.0,24.39,36-45
P000123,Headphones,Beats,253.55,36,Currys,Wales,66,Marketplace,0,0.0,22.74,66+
P000124,Charger,Apple,157.4,36,Argos,West Midlands,20,In-store,0,0.0,16.53,18-25
P000125,Headphones,Bose,315.32,12,Currys,Scotland,22,In-store,0,0.0,28.31,18-25
P000126,Phone,Apple,534.21,36,Argos,North West,64,Online,0,0.0,44.18,56-65
P000127,Tablet,Amazon,321.28,24,AO.com,London,28,Online,0,0.0,30.66,26-35
P000128,Refrigerator,Bosch,24.13,12,AO.com,Scotland,47,Online,0,0.0,7.44,46-55
P000129,Headphones,Beats,154.62,12,Argos,London,55,Online,0,0.0,15.03,46-55
P000130,Tablet,Apple,253.48,36,AO.com,London,59,Marketplace,1,75.67,25.13,56-65
P000131,Laptop,Dell,371.86,24,Amazon UK,London,51,Marketplace,0,0.0,26.04,46-55
P000132,Laptop,HP,285.19,12,Argos,Wales,60,In-store,0,0.0,23.16,56-65
P000133,Washing Machine,LG,236.66,36,John Lewis,London,57,In-store,0,0.0,18.75,56-65
P000134,Tablet,Samsung,299.71,12,Argos,Wales,44,In-store,0,0.0,25.27,36-45
P000135,Headphones,Bose,155.33,24,Currys,South East,36,Marketplace,1,39.21,12.03,36-45
P000136,Tablet,Apple,69.84,36,AO.com,London,39,Online,0,0.0,9.57,36-45
P000137,Phone,Samsung,296.48,12,AO.com,North West,43,In-store,1,77.84,23.3,36-45
P000138,Phone,OnePlus,337.48,12,John Lewis,Scotland,64,In-store,0,0.0,27.8,56-65
P000139,Tablet,Apple,285.14,12,Argos,Scotland,66,In-store,0,0.0,23.1,66+
P000140,Tablet,Samsung,202.38,24,AO.com,West Midlands,39,Marketplace,0,0.0,20.11,36-45
P000141,Charger,Belkin,219.21,12,Currys,West Midlands,19,Online,1,100.77,22.07,18-25
P000142,Phone,Samsung,431.13,12,Argos,London,63,In-store,0,0.0,31.67,56-65
P000143,Refrigerator,Samsung,34.09,12,AO.com,London,42,In-store,0,0.0,8.17,36-45
P000144,Charger,Apple,70.9,12,John Lewis,North West,34,Online,0,0.0,7.64,26-35
P000145,TV,Sony,164.92,24,Amazon UK,North West,34,Marketplace,0,0.0,10.01,26-35
P000146,Charger,Apple,160.9,12,AO.com,London,58,In-store,0,0.0,16.5,56-65
P000147,Laptop,Apple,313.87,36,Amazon UK,North West,51,Marketplace,0,0.0,31.41,46-55
P000148,Headphones,Sony,398.61,36,John Lewis,North West,59,In-store,0,0.0,37.09,56-65
P000149,Refrigerator,Samsung,69.04,24,Currys,Scotland,51,Marketplace,0,0.0,3.6,46-55
P000150,Washing Machine,Whirlpool,197.85,36,Currys,North West,50,In-store,0,0.0,17.0,46-55
P000151,Washing Machine,LG,74.12,36,Currys,North West,65,Online,0,0.0,8.41,56-65
P000152,Charger,Apple,113.6,24,Argos,London,48,In-store,0,0.0,15.34,46-55
P000153,Washing Machine,Whirlpool,214.52,36,Argos,South East,32,In-store,1,48.82,18.42,26-35
P000154,Headphones,Beats,252.83,12,AO.com,South East,32,In-store,0,0.0,23.32,26-35
P000155,Charger,Apple,324.2,12,Amazon UK,Wales,22,Marketplace,0,0.0,27.44,18-25
P000156,Laptop,Lenovo,323.67,24,AO.com,Wales,50,In-store,0,0.0,22.24,46-55
P000157,Headphones,Beats,384.7,24,John Lewis,Wales,31,In-store,0,0.0,32.73,26-35
P000158,Charger,Anker,86.09,24,Currys,Scotland,53,In-store,0,0.0,11.83,46-55
P000159,Refrigerator,Samsung,27.04,36,Argos,London,27,Online,0,0.0,10.62,26-35
P000160,Washing Machine,Whirlpool,59.98,12,Currys,London,57,In-store,0,0.0,9.89,56-65
P000161,Washing Machine,Whirlpool,283.57,24,Currys,North West,34,Online,0,0.0,21.46,26-35
P000162,Washing Machine,Whirlpool,438.99,24,John Lewis,West Midlands,52,In-store,0,0.0,33.92,46-55
P000163,Washing Machine,LG,216.97,36,Amazon UK,South East,29,Marketplace,0,0.0,20.46,26-35
P000164,Tablet,Samsung,218.35,12,AO.com,South East,46,Marketplace,0,0.0,21.34,46-55
P000165,Washing Machine,LG,140.55,12,Argos,South East,47,Online,1,50.43,13.12,46-55
P000166,Washing Machine,Bosch,131.93,12,Currys,North West,31,Marketplace,0,0.0,16.85,26-35
P000167,Laptop,Dell,367.4,36,AO.com,Scotland,42,Marketplace,0,0.0,36.04,36-45
P000168,TV,Samsung,160.16,24,AO.com,London,49,Online,0,0.0,19.37,46-55
P000169,Laptop,HP,315.65,24,Argos,West Midlands,32,In-store,0,0.0,23.46,26-35
P000170,Washing Machine,Whirlpool,38.66,36,AO.com,Wales,19,Online,0,0.0,8.41,18-25
P000171,Tablet,Samsung,277.09,36,AO.com,South East,68,Marketplace,0,0.0,28.04,66+
P000172,TV,Sony,111.91,24,AO.com,North West,59,Online,0,0.0,14.36,56-65
P000173,Phone,OnePlus,524.73,24,AO.com,Scotland,69,Online,0,0.0,44.22,66+
P000174,Headphones,Beats,300.99,12,AO.com,Scotland,44,In-store,0,0.0,26.28,36-45
P000175,Phone,Apple,352.23,24,Amazon UK,London,27,Online,0,0.0,28.44,26-35
P000176,TV,LG,226.05,24,Amazon UK,London,30,In-store,0,0.0,24.68,26-35
P000177,Charger,Apple,155.54,24,AO.com,Scotland,22,In-store,0,0.0,20.13,18-25
P000178,Headphones,Bose,152.64,24,John Lewis,Scotland,44,Marketplace,0,0.0,16.93,36-45
P000179,TV,Panasonic,387.68,36,John Lewis,North West,60,Marketplace,0,0.0,28.6,56-65
P000180,TV,LG,131.97,36,Amazon UK,South East,40,In-store,0,0.0,14.78,36-45
P000181,TV,LG,464.36,12,John Lewis,Scotland,42,In-store,0,0.0,39.44,36-45
P000182,Laptop,Dell,556.47,24,Currys,Scotland,61,Online,0,0.0,45.4,56-65
P000183,Tablet,Samsung,222.39,24,AO.com,Wales,25,In-store,0,0.0,18.76,18-25
P000184,Phone,Apple,530.18,24,Argos,London,26,Marketplace,0,0.0,42.66,26-35
P000185,Laptop,Dell,410.01,36,AO.com,South East,39,Online,1,109.5,32.29,36-45
P000186,Refrigerator,Bosch,159.75,12,Argos,West Midlands,40,In-store,1,41.07,16.35,36-45
P000187,Phone,Google,509.42,12,AO.com,London,57,In-store,0,0.0,44.85,56-65
P000188,TV,LG,130.96,36,Amazon UK,Scotland,27,Marketplace,1,50.45,7.2,26-35
P000189,TV,LG,177.01,36,Currys,London,35,Online,0,0.0,19.28,26-35
P000190,TV,LG,216.14,12,Argos,South East,61,Marketplace,1,81.6,21.54,56-65
P000191,Tablet,Amazon,47.02,36,John Lewis,Scotland,69,Online,0,0.0,7.6,66+
P000192,Washing Machine,LG,269.62,12,Currys,West Midlands,60,Marketplace,0,0.0,23.07,56-65
P000193,Phone,Samsung,289.35,24,Argos,Wales,45,Marketplace,0,0.0,23.52,36-45
P000194,TV,LG,108.94,24,Amazon UK,Wales,49,Marketplace,0,0.0,10.28,46-55
P000195,Refrigerator,Samsung,267.43,24,John Lewis,North West,36,Online,0,0.0,30.49,36-45
P000196,Phone,OnePlus,342.64,12,Currys,South East,46,In-store,0,0.0,26.85,46-55
P000197,Headphones,Beats,210.64,36,Argos,Scotland,31,Online,1,114.37,25.59,26-35
P000198,Charger,Apple,143.62,36,Currys,Scotland,68,In-store,0,0.0,4.35,66+
P000199,TV,LG,228.98,36,John Lewis,North West,56,Marketplace,0,0.0,20.26,56-65
P000200,TV,Samsung,251.38,24,Currys,Wales,51,Marketplace,0,0.0,21.71,46-55
P000201,TV,Panasonic,293.57,24,Argos,Wales,18,Marketplace,0,0.0,29.36,18-25
P000202,Tablet,Apple,122.95,36,AO.com,Wales,25,Marketplace,0,0.0,11.73,18-25
P000203,Phone,Google,347.55,12,Amazon UK,North West,50,Marketplace,0,0.0,30.8,46-55
P000204,Refrigerator,Samsung,286.2,36,Amazon UK,North West,41,Marketplace,0,0.0,26.9,36-45
P000205,Phone,Google,423.47,24,John Lewis,North West,21,In-store,1,137.74,33.82,18-25
P000206,Laptop,Lenovo,294.25,36,Currys,London,65,Marketplace,0,0.0,29.69,56-65
P000207,Washing Machine,Bosch,276.99,12,Argos,North West,38,Online,0,0.0,25.37,36-45
P000208,Charger,Apple,74.89,36,Currys,North West,35,Online,1,20.0,13.39,26-35
P000209,Headphones,Beats,129.57,24,John Lewis,Scotland,40,Marketplace,0,0.0,9.84,36-45
P000210,Refrigerator,Samsung,152.45,36,Argos,West Midlands,47,In-store,0,0.0,18.72,46-55
P000211,Laptop,Apple,363.3,24,Currys,Scotland,39,Marketplace,1,126.15,30.93,36-45
P000212,Headphones,Beats,102.4,24,Currys,North West,63,Marketplace,0,0.0,11.98,56-65
P000213,Laptop,HP,265.73,24,AO.com,South East,34,Online,0,0.0,30.07,26-35
P000214,TV,Samsung,267.23,12,John Lewis,North West,56,In-store,0,0.0,20.7,56-65
P000215,Headphones,Beats,385.4,36,AO.com,West Midlands,43,Online,0,0.0,30.36,36-45
P000216,Phone,Google,322.17,12,Amazon UK,London,28,In-store,1,140.04,27.93,26-35
P000217,Refrigerator,Whirlpool,124.04,12,Amazon UK,Wales,54,In-store,0,0.0,13.67,46-55
P000218,Phone,Apple,353.09,36,Argos,North West,59,Online,0,0.0,31.3,56-65
P000219,Charger,Anker,110.12,24,Argos,West Midlands,44,In-store,0,0.0,9.98,36-45
P000220,Laptop,Apple,566.55,24,John Lewis,Wales,24,Marketplace,0,0.0,47.7,18-25
P000221,Laptop,Apple,367.67,24,Argos,Wales,63,Marketplace,0,0.0,34.17,56-65
P000222,Tablet,Amazon,251.77,12,Currys,Wales,68,Online,0,0.0,20.45,66+
P000223,Washing Machine,Whirlpool,177.5,24,Amazon UK,London,53,In-store,0,0.0,21.05,46-55
P000224,TV,Panasonic,257.4,12,Amazon UK,Wales,51,Marketplace,0,0.0,17.76,46-55
P000225,Tablet,Amazon,24.52,12,John Lewis,North West,64,Online,0,0.0,6.34,56-65
P000226,Headphones,Bose,142.44,24,Currys,Scotland,62,Online,0,0.0,15.34,56-65
P000227,TV,Panasonic,151.99,24,Argos,London,26,In-store,0,0.0,22.53,26-35
P000228,Phone,Google,396.5,12,John Lewis,South East,60,In-store,0,0.0,38.07,56-65
P000229,Tablet,Samsung,120.3,36,Currys,London,67,Marketplace,0,0.0,13.19,66+
P000230,Headphones,Bose,91.22,36,Currys,South East,51,Marketplace,0,0.0,14.17,46-55
P000231,Refrigerator,Samsung,298.57,24,Amazon UK,North West,66,In-store,0,0.0,24.12,66+
P000232,Laptop,Apple,392.56,36,Argos,Scotland,64,Online,0,0.0,34.34,56-65
P000233,Headphones,Sony,328.45,36,Currys,West Midlands,54,In-store,0,0.0,30.06,46-55
P000234,Headphones,Beats,154.63,12,AO.com,Scotland,42,Online,0,0.0,17.72,36-45
P000235,Washing Machine,Bosch,171.67,36,John Lewis,North West,43,Marketplace,0,0.0,17.38,36-45
P000236,Washing Machine,LG,242.96,24,John Lewis,Wales,40,In-store,0,0.0,22.63,36-45
P000237,Refrigerator,Whirlpool,20.0,24,John Lewis,Wales,32,Online,0,0.0,5.56,26-35
P000238,Phone,Samsung,444.66,12,Argos,South East,67,Online,0,0.0,35.49,66+
P000239,TV,Samsung,265.69,24,Currys,West Midlands,69,Online,0,0.0,25.97,66+
P000240,Tablet,Apple,293.83,12,Amazon UK,London,34,In-store,0,0.0,24.02,26-35
P000241,Headphones,Bose,290.23,12,John Lewis,Wales,62,Marketplace,0,0.0,19.28,56-65
P000242,Headphones,Sony,95.75,24,Argos,North West,40,Online,0,0.0,15.54,36-45
P000243,Washing Machine,LG,241.26,24,AO.com,West Midlands,46,Marketplace,0,0.0,16.1,46-55
P000244,Headphones,Bose,214.53,36,Amazon UK,Wales,62,In-store,0,0.0,25.16,56-65
P000245,Laptop,Apple,408.23,12,Currys,Scotland,49,Online,1,165.97,33.5,46-55
P000246,TV,Sony,144.48,12,Argos,South East,33,Marketplace,1,20.0,9.84,26-35
P000247,Refrigerator,Bosch,112.74,36,Amazon UK,West Midlands,20,Online,0,0.0,15.27,18-25
P000248,Charger,Anker,278.62,24,John Lewis,London,35,Online,0,0.0,23.15,26-35
P000249,Phone,OnePlus,396.53,24,Amazon UK,Wales,66,Marketplace,0,0.0,33.46,66+
P000250,Washing Machine,Whirlpool,135.14,36,Amazon UK,London,23,In-store,1,51.38,15.19,18-25
P000251,Phone,Google,492.81,36,AO.com,West Midlands,30,Online,1,143.06,39.66,26-35
P000252,Headphones,Beats,313.82,24,Amazon UK,North West,68,Online,0,0.0,25.97,66+
P000253,Headphones,Sony,136.23,36,Currys,North West,43,Marketplace,0,0.0,12.94,36-45
P000254,Washing Machine,Bosch,251.53,12,Amazon UK,South East,40,In-store,1,105.5,21.49,36-45
P000255,Charger,Apple,82.64,24,Currys,Scotland,67,Online,0,0.0,17.49,66+
P000256,Charger,Apple,133.41,12,Argos,South East,64,Marketplace,0,0.0,7.6,56-65
P000257,Tablet,Samsung,112.16,12,Amazon UK,Wales,45,In-store,0,0.0,12.64,36-45
P000258,Charger,Anker,181.24,24,Amazon UK,South East,42,Online,0,0.0,17.16,36-45
P000259,Phone,Apple,320.17,12,Currys,Scotland,32,In-store,0,0.0,26.71,26-35
P000260,Headphones,Beats,210.21,24,Currys,Scotland,35,Online,0,0.0,21.8,26-35
P000261,Refrigerator,Bosch,93.92,24,AO.com,London,22,Online,1,36.7,11.68,18-25
P000262,Laptop,Lenovo,586.5,24,Currys,London,57,Online,0,0.0,48.52,56-65
P000263,TV,LG,258.39,24,John Lewis,South East,36,In-store,1,68.23,21.17,36-45
P000264,Phone,Samsung,352.59,12,John Lewis,Scotland,65,Marketplace,0,0.0,31.19,56-65
P000265,Charger,Apple,285.74,12,Currys,North West,59,Online,0,0.0,22.22,56-65
P000266,Phone,Google,459.44,24,Argos,Wales,22,Marketplace,1,130.15,37.6,18-25
P000267,Refrigerator,Whirlpool,320.65,24,Argos,South East,48,Marketplace,0,0.0,24.99,46-55
P000268,Charger,Belkin,356.73,36,John Lewis,North West,29,Online,0,0.0,31.0,26-35
P000269,Laptop,Apple,481.78,24,John Lewis,West Midlands,66,Marketplace,0,0.0,34.26,66+
P000270,Refrigerator,Samsung,171.69,24,John Lewis,London,41,Marketplace,1,36.36,15.85,36-45
P000271,Tablet,Samsung,132.96,24,Argos,North West,24,Marketplace,0,0.0,14.02,18-25
P000272,TV,LG,227.9,12,AO.com,Scotland,32,Online,1,58.2,21.54,26-35
P000273,Headphones,Bose,307.36,12,Argos,Wales,39,Marketplace,0,0.0,23.44,36-45
P000274,TV,Samsung,130.46,36,Argos,London,35,In-store,1,38.6,12.46,26-35
P000275,Phone,Apple,437.72,24,Argos,West Midlands,29,Online,0,0.0,40.34,26-35
P000276,Washing Machine,Bosch,193.42,36,AO.com,Scotland,40,Online,0,0.0,14.2,36-45
P000277,Charger,Belkin,20.0,36,John Lewis,North West,56,Online,0,0.0,4.77,56-65
P000278,Phone,Google,487.71,12,AO.com,West Midlands,49,In-store,0,0.0,42.51,46-55
P000279,Washing Machine,LG,331.05,24,Argos,West Midlands,44,Marketplace,1,113.58,28.9,36-45
P000280,Headphones,Sony,165.63,24,John Lewis,North West,18,Marketplace,0,0.0,21.24,18-25
P000281,Headphones,Beats,294.22,12,Argos,Scotland,52,Marketplace,0,0.0,28.18,46-55
P000282,Phone,Apple,274.85,12,AO.com,West Midlands,32,Online,0,0.0,28.57,26-35
P000283,Headphones,Bose,78.42,36,AO.com,South East,42,In-store,1,24.74,12.61,36-45
P000284,Laptop,HP,472.25,12,Currys,Scotland,63,Marketplace,0,0.0,39.6,56-65
P000285,Phone,OnePlus,374.32,36,Currys,South East,20,In-store,0,0.0,36.12,18-25
