Policy_ID,Device_Type,Brand,Retail_Price,Plan_Duration,Vendor,Region,Customer_Age,Sales_Channel,Claim_Made,Claim_Cost,Plan_Price,Age_Band,Predicted_Claim_Frequency,Predicted_Claim_Severity,Technical_Premium,Final_Premium_Base,Final_Premium_YoungLoad,Final_Premium_TabletDisc,Final_Premium
P000011,TV,Sony,256.61,24,John Lewis,Wales,23,Online,0,0.0,20.85,18-25,0.3130945112908042,77.8211579175051,24.36537740626576,30.456721757832202,33.50239393361542,33.50239393361542,33.50239393361542
P000012,Charger,Apple,153.85,24,John Lewis,West Midlands,35,Online,1,47.18,17.98,26-35,0.326406606455336,53.40113425081257,17.43048301167354,21.788103764591927,21.788103764591927,21.788103764591927,21.788103764591927
P000013,Laptop,HP,417.14,12,AO.com,London,25,In-store,0,0.0,35.89,18-25,0.47918700698308,77.8211579175051,37.29088774244689,46.613609678058616,51.27497064586448,51.27497064586448,51.27497064586448
P000014,Refrigerator,Samsung,202.55,24,AO.com,North West,38,Online,0,0.0,21.5,36-45,0.1875635405389197,77.8211579175051,14.59641190784564,18.24551488480705,18.24551488480705,18.24551488480705,18.24551488480705
P000015,Charger,Anker,146.19,24,Argos,South East,43,Marketplace,1,21.78,17.4,36-45,0.2723943572729715,65.42376430990187,17.82106422957409,22.276330286967614,22.276330286967614,22.276330286967614,22.276330286967614
P000016,Headphones,Sony,115.66,36,Currys,West Midlands,42,Marketplace,1,28.76,11.07,36-45,0.2951703729066411,60.93302497865197,17.98562370527838,22.482029631597975,22.482029631597975,22.482029631597975,22.482029631597975
P000017,Laptop,Apple,461.17,12,Currys,West Midlands,41,In-store,0,0.0,39.19,36-45,0.3339477499323143,77.8211579175051,25.988200583678136,32.48525072959767,32.48525072959767,32.48525072959767,32.48525072959767
P000018,Laptop,HP,309.33,12,Amazon UK,London,52,Marketplace,1,86.39,24.78,46-55,0.2873856483089902,137.38047239387308,39.48117612390855,49.35147015488568,49.35147015488568,49.35147015488568,49.35147015488568
P000019,Tablet,Apple,49.18,24,AO.com,South East,65,Online,0,0.0,11.74,56-65,0.1181485246749111,77.8211579175051,9.194454996446506,11.493068745558134,11.493068745558134,10.34376187100232,10.34376187100232
P000020,Headphones,Beats,321.22,36,Argos,London,61,Online,0,0.0,31.19,56-65,0.1855246144547095,77.8211579175051,14.437740319064195,18.047175398830245,18.047175398830245,18.047175398830245,18.047175398830245
P000021,Tablet,Apple,192.8,24,John Lewis,Wales,54,Marketplace,1,77.19,19.9,46-55,0.1457765123371854,64.88184845488789,9.458249581743356,11.822811977179196,11.822811977179196,10.640530779461276,10.640530779461276
P000022,Charger,Anker,273.61,24,Currys,North West,31,Online,0,0.0,16.29,26-35,0.2938106726041441,77.8211579175051,22.86468675057549,28.580858438219362,28.580858438219362,28.580858438219362,28.580858438219362
P000023,Charger,Belkin,282.19,12,AO.com,South East,59,Online,0,0.0,25.2,56-65,0.1325646981195886,77.8211579175051,10.316338306650897,12.895422883313621,12.895422883313621,12.895422883313621,12.895422883313621
P000024,Phone,Samsung,388.66,24,John Lewis,Scotland,66,In-store,0,0.0,34.92,66+,0.119767233664875,77.8211579175051,9.320424804376971,11.650531005471214,11.650531005471214,11.650531005471214,11.650531005471214
P000025,Laptop,Lenovo,401.9,12,Currys,Wales,40,In-store,0,0.0,28.88,36-45,0.3177101177846436,77.8211579175051,24.72456924810789,30.90571156013486,30.90571156013486,30.90571156013486,30.90571156013486
P000026,Laptop,Lenovo,419.03,24,Amazon UK,Wales,30,Online,0,0.0,31.91,26-35,0.3950465280157404,77.8211579175051,30.74297824147504,38.4287228018438,38.4287228018438,38.4287228018438,38.4287228018438
P000027,Phone,Apple,349.82,24,Currys,Wales,19,Marketplace,1,83.6,28.54,18-25,0.2742901938955767,116.6253163262304,31.9891806282547,39.986475785318376,43.985123363850214,43.985123363850214,43.985123363850214
P000028,Tablet,Samsung,51.76,12,Currys,North West,37,In-store,1,20.0,12.74,36-45,0.2852879861285302,49.229584437986375,14.044609002257562,17.555761252821952,17.555761252821952,15.800185127539757,15.800185127539757
P000029,Refrigerator,Bosch,217.56,24,AO.com,Scotland,45,Marketplace,0,0.0,19.45,36-45,0.2940216898569197,77.8211579175051,22.88110835752705,28.601385446908814,28.601385446908814,28.601385446908814,28.601385446908814
P000030,Tablet,Samsung,246.1,36,AO.com,North West,44,Online,0,0.0,23.12,36-45,0.2598617899138989,77.8211579175051,20.222745389615064,25.278431737018828,25.278431737018828,22.750588563316946,22.750588563316946
P000031,Refrigerator,Whirlpool,226.11,12,Argos,South East,56,In-store,0,0.0,16.9,56-65,0.1731998550571079,77.8211579175051,13.478613271688188,16.848266589610233,16.848266589610233,16.848266589610233,16.848266589610233
P000032,Washing Machine,Whirlpool,494.37,24,John Lewis,London,50,Marketplace,0,0.0,40.96,46-55,0.185624095083275,77.8211579175051,14.445482016769526,18.056852520961908,18.056852520961908,18.056852520961908,18.056852520961908
P000033,Phone,Apple,383.39,12,John Lewis,West Midlands,49,Marketplace,0,0.0,29.01,46-55,0.1588699075883502,77.8211579175051,12.363440166772444,15.454300208465554,15.454300208465554,15.454300208465554,15.454300208465554
P000034,TV,LG,340.4,12,Amazon UK,London,66,In-store,0,0.0,31.28,66+,0.0986393426244726,77.8211579175051,7.676227859257975,9.595284824072468,9.595284824072468,9.595284824072468,9.595284824072468
P000035,Laptop,HP,294.54,36,Argos,Scotland,20,Marketplace,0,0.0,25.8,18-25,0.5381894542766086,77.8211579175051,41.88252651079585,52.35315813849481,57.5884739523443,57.5884739523443,57.5884739523443
P000036,Tablet,Samsung,446.32,24,Amazon UK,South East,40,Marketplace,0,0.0,35.67,36-45,0.3116922282343644,77.8211579175051,24.256250115085518,30.320312643856898,30.320312643856898,27.288281379471208,27.288281379471208
P000037,Laptop,HP,430.15,24,John Lewis,London,19,Marketplace,0,0.0,41.01,18-25,0.4778668806718752,77.8211579175051,37.18815398431157,46.48519248038946,51.13371172842841,51.13371172842841,51.13371172842841
P000038,Laptop,Apple,206.01,36,Argos,Scotland,21,Marketplace,0,0.0,15.46,18-25,0.4801133678950647,77.8211579175051,37.362978221267056,46.70372277658382,51.374095054242204,51.374095054242204,51.374095054242204
P000039,Refrigerator,Whirlpool,133.18,24,Currys,North West,55,Marketplace,0,0.0,18.54,46-55,0.1946408669771626,77.8211579175051,15.147177646229874,18.933972057787344,18.933972057787344,18.933972057787344,18.933972057787344
P000040,Headphones,Beats,339.23,12,Currys,West Midlands,28,Online,1,86.75,29.88,26-35,0.3705444177451334,58.329913721310064,21.613823916986707,27.017279896233383,27.017279896233383,27.017279896233383,27.017279896233383
P000041,Phone,OnePlus,593.38,24,John Lewis,Wales,20,In-store,0,0.0,46.78,18-25,0.3507473485360742,77.8211579175051,27.295564799572038,34.119455999465046,37.53140159941155,37.53140159941155,37.53140159941155
P000042,Charger,Anker,44.93,12,John Lewis,Scotland,49,In-store,0,0.0,8.35,46-55,0.1957389720454142,77.8211579175051,15.232633454156296,19.04079181769537,19.04079181769537,19.04079181769537,19.04079181769537
P000043,Laptop,Apple,385.65,12,Amazon UK,London,56,Online,1,139.49,30.83,56-65,0.1970387915653555,131.3753445301297,25.886039127698997,32.357548909623745,32.357548909623745,32.357548909623745,32.357548909623745
P000044,Washing Machine,LG,111.45,24,Currys,South East,42,Marketplace,0,0.0,18.42,36-45,0.2080908167492643,77.8211579175051,16.193868311427114,20.24233538928389,20.24233538928389,20.24233538928389,20.24233538928389
P000045,Tablet,Amazon,239.64,24,John Lewis,West Midlands,24,In-store,0,0.0,22.46,18-25,0.3720470312359811,77.8211579175051,28.95313077055424,36.1914134631928,39.810554809512084,35.82949932856088,35.82949932856088
P000046,Headphones,Sony,330.71,12,John Lewis,Wales,66,In-store,0,0.0,28.93,66+,0.1039627313373369,77.8211579175051,8.090500132938052,10.113125166172566,10.113125166172566,10.113125166172566,10.113125166172566
P000047,Phone,Samsung,478.18,36,Amazon UK,London,26,Marketplace,0,0.0,40.92,26-35,0.3837958985451731,77.8211579175051,29.867441228774684,37.33430153596836,37.33430153596836,37.33430153596836,37.33430153596836
P000048,Phone,OnePlus,447.17,36,AO.com,Wales,37,In-store,1,161.77,39.95,36-45,0.2460660124559101,116.41010779917916,28.64457103570665,35.80571379463331,35.80571379463331,35.80571379463331,35.80571379463331
P000049,TV,Panasonic,222.63,36,John Lewis,South East,52,In-store,0,0.0,23.13,46-55,0.1795763846299488,77.8211579175051,13.97484218654188,17.46855273317735,17.46855273317735,17.46855273317735,17.46855273317735
P000050,Laptop,Dell,301.46,36,Amazon UK,Wales,19,Marketplace,1,57.46,22.53,18-25,0.4035552467654676,116.31489032846538,46.93948426900215,58.67435533625269,64.54179086987796,64.54179086987796,64.54179086987796
P000051,Washing Machine,Bosch,265.66,12,AO.com,Scotland,50,Marketplace,0,0.0,19.61,46-55,0.2102516362241787,77.8211579175051,16.362025785015646,20.452532231269558,20.452532231269558,20.452532231269558,20.452532231269558
P000052,Washing Machine,LG,197.47,36,John Lewis,London,25,Marketplace,1,75.47,24.51,18-25,0.284075520054496,55.83545131351701,15.861484869364835,19.826856086706044,21.80954169537665,21.80954169537665,21.80954169537665
P000053,Laptop,Apple,375.46,12,AO.com,North West,39,In-store,0,0.0,29.02,36-45,0.2739784776147158,77.8211579175051,21.321322372452432,26.65165296556554,26.65165296556554,26.65165296556554,26.65165296556554
P000054,Washing Machine,Bosch,192.29,36,Currys,West Midlands,25,Marketplace,0,0.0,19.48,18-25,0.4227090741522972,77.8211579175051,32.89570961276829,41.119637015960365,45.231600717556404,45.231600717556404,45.231600717556404
P000055,Refrigerator,Whirlpool,201.3,36,Argos,London,45,In-store,0,0.0,23.45,36-45,0.2947956382011758,77.8211579175051,22.941337913845405,28.676672392306756,28.676672392306756,28.676672392306756,28.676672392306756
P000056,Phone,Apple,362.69,12,John Lewis,South East,65,Online,0,0.0,31.9,56-65,0.1153542186412847,77.8211579175051,8.976998865333828,11.221248581667284,11.221248581667284,11.221248581667284,11.221248581667284
P000057,Charger,Anker,204.2,24,Argos,London,34,Marketplace,1,58.46,13.94,26-35,0.346120120964022,64.50582272854261,22.326763165686927,27.90845395710866,27.90845395710866,27.90845395710866,27.90845395710866
P000058,Charger,Apple,175.69,24,AO.com,South East,23,Marketplace,0,0.0,18.72,18-25,0.3546411745933951,77.8211579175051,27.5985868520821,34.49823356510262,37.94805692161289,37.94805692161289,37.94805692161289
P000059,Washing Machine,Bosch,192.72,12,AO.com,Wales,52,Online,1,53.63,17.06,46-55,0.1897826022564019,71.48700661880845,13.566990143638094,16.958737679547617,16.958737679547617,16.958737679547617,16.958737679547617
P000060,Washing Machine,LG,139.06,24,Argos,Wales,20,In-store,0,0.0,12.29,18-25,0.2953770632292561,77.8211579175051,22.98658508277283,28.73323135346604,31.606554488812645,31.606554488812645,31.606554488812645
P000061,TV,Panasonic,271.01,24,Amazon UK,South East,20,Marketplace,0,0.0,24.25,18-25,0.3550882657996386,77.8211579175051,27.6333800074467,34.54172500930837,37.99589751023921,37.99589751023921,37.99589751023921
P000062,Refrigerator,Bosch,223.1,24,Currys,North West,39,Online,0,0.0,18.19,36-45,0.2821171640578777,77.8211579175051,21.954684375386798,27.443355469233495,27.443355469233495,27.443355469233495,27.443355469233495
P000063,Washing Machine,Whirlpool,114.48,12,Amazon UK,Wales,43,Online,0,0.0,9.93,36-45,0.2370566376504053,77.8211579175051,18.448022033984977,23.060027542481222,23.060027542481222,23.060027542481222,23.060027542481222
P000064,Phone,Google,508.31,36,AO.com,North West,65,Marketplace,0,0.0,43.74,56-65,0.1455144446935222,77.8211579175051,11.324102579772656,14.15512822471582,14.15512822471582,14.15512822471582,14.15512822471582
P000065,TV,Samsung,133.31,36,Currys,West Midlands,67,Marketplace,0,0.0,9.26,66+,0.0945825652537352,77.8211579175051,7.360524746853659,9.200655933567074,9.200655933567074,9.200655933567074,9.200655933567074
P000066,Headphones,Sony,202.39,12,AO.com,Scotland,53,In-store,0,0.0,21.78,46-55,0.2098511938667187,77.8211579175051,16.330862897078894,20.41357862134862,20.41357862134862,20.41357862134862,20.41357862134862
P000067,Tablet,Apple,333.09,36,John Lewis,London,33,In-store,0,0.0,31.28,26-35,0.2561570621761335,77.8211579175051,19.93443918729306,24.918048984116325,24.918048984116325,22.426244085704692,22.426244085704692
P000068,TV,LG,43.94,24,Currys,North West,39,Online,0,0.0,14.08,36-45,0.2034844847727162,77.8211579175051,15.835398223259707,19.794247779074635,19.794247779074635,19.794247779074635,19.794247779074635
P000069,Washing Machine,Whirlpool,214.98,12,Amazon UK,London,66,Marketplace,0,0.0,20.47,66+,0.1094801627908719,77.8211579175051,8.51987303738261,10.649841296728262,10.649841296728262,10.649841296728262,10.649841296728262
P000070,Charger,Anker,152.81,12,Currys,Wales,54,In-store,0,0.0,18.96,46-55,0.1905540334353065,77.8211579175051,14.829135527786535,18.53641940973317,18.53641940973317,18.53641940973317,18.53641940973317
P000071,Phone,Samsung,328.47,12,Currys,West Midlands,22,Marketplace,0,0.0,30.03,18-25,0.4396158527865248,77.8211579175051,34.21141470273882,42.76426837842352,47.04069521626588,47.04069521626588,47.04069521626588
P000072,Refrigerator,Samsung,160.86,12,Amazon UK,West Midlands,47,Marketplace,0,0.0,17.57,46-55,0.1848451537356815,77.8211579175051,14.38486389914998,17.981079873937475,17.981079873937475,17.981079873937475,17.981079873937475
P000073,Washing Machine,Whirlpool,336.34,24,Currys,South East,30,Marketplace,1,128.78,24.62,26-35,0.3063331578966172,56.121973725291525,17.19202143865953,21.490026798324415,21.490026798324415,21.490026798324415,21.490026798324415
P000074,Washing Machine,Whirlpool,20.0,36,Currys,West Midlands,43,Online,0,0.0,4.08,36-45,0.2591152298666702,77.8211579175051,20.16464722228477,25.205809027855963,25.205809027855963,25.205809027855963,25.205809027855963
P000075,Laptop,Lenovo,566.13,36,AO.com,London,18,Online,0,0.0,43.67,18-25,0.4471744183709071,77.8211579175051,34.799631028710856,43.49953878588857,47.84949266447743,47.84949266447743,47.84949266447743
P000076,Charger,Apple,179.54,12,Argos,London,42,Online,0,0.0,18.7,36-45,0.2882677368340141,77.8211579175051,22.43332907068161,28.04166133835201,28.04166133835201,28.04166133835201,28.04166133835201
P000077,Washing Machine,Bosch,365.14,24,Argos,North West,39,In-store,0,0.0,30.82,36-45,0.280480438337143,77.8211579175051,21.82731248460585,27.284140605757315,27.284140605757315,27.284140605757315,27.284140605757315
P000078,TV,Panasonic,140.71,12,Argos,Scotland,68,Online,0,0.0,16.18,66+,0.1093731975097825,77.8211579175051,8.51154887535126,10.639436094189074,10.639436094189074,10.639436094189074,10.639436094189074
P000079,Headphones,Sony,277.46,36,Currys,London,29,Online,0,0.0,26.52,26-35,0.3500058233064392,77.8211579175051,27.237858447576794,34.04732305947099,34.04732305947099,34.04732305947099,34.04732305947099
P000080,Phone,Google,459.99,36,Amazon UK,South East,53,In-store,0,0.0,31.21,46-55,0.2238665560888378,77.8211579175051,17.42155461383746,21.776943267296826,21.776943267296826,21.776943267296826,21.776943267296826
P000081,Refrigerator,Samsung,69.98,36,John Lewis,South East,27,Marketplace,1,20.0,11.47,26-35,0.2537042615466249,56.61442338057936,14.36332047665786,17.954150595822323,17.954150595822323,17.954150595822323,17.954150595822323
P000082,Laptop,HP,718.7,36,AO.com,London,62,Online,0,0.0,55.56,56-65,0.2000009710626446,77.8211579175051,15.564307152720437,19.455383940900546,19.455383940900546,19.455383940900546,19.455383940900546
P000083,Charger,Belkin,219.91,12,Argos,South East,66,Marketplace,0,0.0,18.59,66+,0.1051109816049643,77.8211579175051,8.1798582983439,10.224822872929876,10.224822872929876,10.224822872929876,10.224822872929876
P000084,TV,LG,317.24,24,John Lewis,Scotland,29,Online,0,0.0,28.8,26-35,0.260884297940839,77.8211579175051,20.302318148251484,25.377897685314355,25.377897685314355,25.377897685314355,25.377897685314355
P000085,Headphones,Bose,138.49,12,John Lewis,West Midlands,68,In-store,0,0.0,21.03,66+,0.1119262321495433,77.8211579175051,8.710228987220946,10.887786234026182,10.887786234026182,10.887786234026182,10.887786234026182
P000086,Charger,Apple,313.7,24,Currys,London,57,Marketplace,1,108.13,27.8,56-65,0.1670470382282656,50.13187930909518,8.374381959401221,10.467977449251526,10.467977449251526,10.467977449251526,10.467977449251526
P000087,Charger,Belkin,137.73,36,AO.com,Scotland,34,Online,0,0.0,19.31,26-35,0.2794395408222787,77.8211579175051,21.74630863472566,27.182885793407078,27.182885793407078,27.182885793407078,27.182885793407078
P000088,TV,Sony,101.88,24,AO.com,Scotland,51,In-store,0,0.0,17.99,46-55,0.1908372870348126,77.8211579175051,14.8511786508844,18.5639733136055,18.5639733136055,18.5639733136055,18.5639733136055
P000089,Laptop,Dell,395.99,24,Currys,London,67,In-store,0,0.0,33.81,66+,0.127777119989999,77.8211579175051,9.94376343298571,12.429704291232138,12.429704291232138,12.429704291232138,12.429704291232138
P000090,Washing Machine,LG,258.13,24,John Lewis,West Midlands,38,Online,1,20.22,27.24,36-45,0.2042280030002854,55.44659723865214,11.323747827211063,14.15468478401383,14.15468478401383,14.15468478401383,14.15468478401383
P000091,TV,Panasonic,387.04,24,Argos,South East,52,Online,0,0.0,37.16,46-55,0.1973515694139401,77.8211579175051,15.358127648629704,19.19765956078713,19.19765956078713,19.19765956078713,19.19765956078713
P000092,Charger,Anker,327.77,36,John Lewis,Wales,41,Online,1,78.94,23.34,36-45,0.2252925124947942,62.0221279053731,13.973121026074994,17.466401282593743,17.466401282593743,17.466401282593743,17.466401282593743
P000093,Headphones,Bose,236.31,12,John Lewis,Scotland,30,Online,1,56.08,17.52,26-35,0.3151203120778576,63.88489018316705,20.131426531579265,25.16428316447408,25.16428316447408,25.16428316447408,25.16428316447408
P000094,Refrigerator,Samsung,167.4,12,John Lewis,London,42,Marketplace,0,0.0,26.48,36-45,0.2109900679886946,77.8211579175051,16.419491399973342,20.524364249966677,20.524364249966677,20.524364249966677,20.524364249966677
P000095,Phone,Samsung,376.08,12,Argos,London,29,Online,1,144.94,30.09,26-35,0.3887746166508378,107.96537596682002,41.97419765306403,52.46774706633004,52.46774706633004,52.46774706633004,52.46774706633004
P000096,Tablet,Samsung,298.4,36,Argos,Wales,45,Online,1,92.41,27.67,36-45,0.297167479041607,55.533054978110776,16.502617951324144,20.62827243915518,20.62827243915518,18.56544519523966,18.56544519523966
P000097,Charger,Apple,118.18,12,John Lewis,North West,52,Online,0,0.0,19.55,46-55,0.1805023577700334,77.8211579175051,14.046902488503774,17.558628110629716,17.558628110629716,17.558628110629716,17.558628110629716
P000098,Headphones,Beats,55.93,24,Currys,North West,40,In-store,1,20.0,14.36,36-45,0.2700051290829876,55.29521003751277,14.929990323849548,18.662487904811936,18.662487904811936,18.662487904811936,18.662487904811936
P000099,Refrigerator,Bosch,240.46,12,John Lewis,South East,64,In-store,0,0.0,23.67,56-65,0.1755027277033724,77.8211579175051,13.657825487557044,17.072281859446306,17.072281859446306,17.072281859446306,17.072281859446306
P000100,Washing Machine,Bosch,335.79,36,Amazon UK,London,55,Marketplace,0,0.0,27.21,46-55,0.2317454430094683,77.8211579175051,18.03469871710201,22.54337339637751,22.54337339637751,22.54337339637751,22.54337339637751
P000101,Washing Machine,Bosch,220.38,24,AO.com,North West,67,In-store,1,67.09,16.9,66+,0.1034411845484242,71.65416388386642,7.411991589974058,9.264989487467572,9.264989487467572,9.264989487467572,9.264989487467572
P000102,Charger,Apple,244.55,24,Amazon UK,North West,62,Marketplace,0,0.0,17.73,56-65,0.1558448421395777,77.8211579175051,12.12802607077273,15.160032588465914,15.160032588465914,15.160032588465914,15.160032588465914
P000103,Washing Machine,Bosch,128.16,24,John Lewis,London,61,Online,0,0.0,13.33,56-65,0.1624941739222194,77.8211579175051,12.645484769475576,15.80685596184447,15.80685596184447,15.80685596184447,15.80685596184447
P000104,Phone,Google,485.77,36,Currys,Wales,56,Online,0,0.0,38.52,56-65,0.1557828625197132,77.8211579175051,12.123202744987587,15.154003431234484,15.154003431234484,15.154003431234484,15.154003431234484
P000105,Charger,Apple,142.58,12,AO.com,South East,37,Online,0,0.0,10.5,36-45,0.2476087150368232,77.8211579175051,19.269196914631134,24.08649614328892,24.08649614328892,24.08649614328892,24.08649614328892
P000106,Refrigerator,Bosch,232.27,24,Currys,Scotland,18,Marketplace,1,50.47,19.64,18-25,0.4464840364249079,70.20064740171009,31.343468411557243,39.17933551444656,43.09726906589122,43.09726906589122,43.09726906589122
P000107,Phone,Google,258.0,36,Argos,Wales,66,Online,0,0.0,15.37,66+,0.1136727826991275,77.8211579175051,8.846147573351043,11.057684466688805,11.057684466688805,11.057684466688805,11.057684466688805
P000108,Headphones,Sony,314.27,12,Argos,London,61,In-store,1,34.67,28.8,56-65,0.1845605759179493,57.00616746532696,10.521091098275807,13.151363872844758,13.151363872844758,13.151363872844758,13.151363872844758
P000109,Tablet,Amazon,183.19,24,John Lewis,South East,36,In-store,1,60.18,24.65,36-45,0.2484439559982584,59.44784784997093,14.769458495429337,18.46182311928667,18.46182311928667,16.615640807358005,16.615640807358005
P000110,TV,LG,240.62,12,Currys,South East,31,In-store,0,0.0,26.15,26-35,0.2759997843328055,77.8211579175051,21.478622801760608,26.84827850220076,26.84827850220076,26.84827850220076,26.84827850220076
P000111,Refrigerator,Bosch,129.83,24,Currys,Scotland,28,Online,0,0.0,20.66,26-35,0.3853274518745995,77.8211579175051,29.986628482283056,37.48328560285382,37.48328560285382,37.48328560285382,37.48328560285382
P000112,Charger,Apple,119.17,24,John Lewis,Wales,25,Marketplace,0,0.0,9.71,18-25,0.3362996798051264,77.8211579175051,26.171230489721143,32.71403811215143,35.98544192336657,35.98544192336657,35.98544192336657
P000113,Tablet,Apple,358.91,36,Amazon UK,North West,67,Online,0,0.0,26.15,66+,0.0841082070185596,77.8211579175051,6.545398060549538,8.181747575686924,8.181747575686924,7.363572818118231,7.363572818118231
P000114,Tablet,Apple,122.88,24,AO.com,Wales,44,In-store,0,0.0,7.86,36-45,0.1883197046412441,77.8211579175051,14.655257473864175,18.319071842330217,18.319071842330217,16.487164658097196,16.487164658097196
P000115,Headphones,Bose,236.25,12,Currys,Scotland,37,In-store,0,0.0,19.6,36-45,0.2777861875258864,77.8211579175051,21.617642766753693,27.022053458442116,27.022053458442116,27.022053458442116,27.022053458442116
P000116,Refrigerator,Samsung,159.64,24,Amazon UK,West Midlands,52,Online,1,26.82,21.67,46-55,0.1825862379368127,63.38313558046717,11.572888274276435,14.466110342845544,14.466110342845544,14.466110342845544,14.466110342845544
P000117,Refrigerator,Bosch,317.94,24,AO.com,West Midlands,49,In-store,1,80.47,31.37,46-55,0.2369694934872254,72.52603746301266,17.18645836224564,21.483072952807053,21.483072952807053,21.483072952807053,21.483072952807053
P000118,Washing Machine,LG,132.22,36,Currys,West Midlands,42,In-store,1,43.31,15.09,36-45,0.2225342105480464,48.96792067791723,10.897037570239668,13.621296962799585,13.621296962799585,13.621296962799585,13.621296962799585
P000119,Refrigerator,Whirlpool,20.0,36,John Lewis,West Midlands,18,Marketplace,0,0.0,3.7,18-25,0.3781483825148781,77.8211579175051,29.42794499193945,36.78493123992431,40.463424363916744,40.463424363916744,40.463424363916744
P000120,Charger,Apple,221.87,12,AO.com,London,22,Marketplace,1,55.81,20.55,18-25,0.3645613733538629,59.46838563641078,21.67987633874705,27.099845423433813,29.809829965777197,29.809829965777197,29.809829965777197
P000121,Washing Machine,LG,204.7,24,Argos,Scotland,54,Online,0,0.0,17.4,46-55,0.1733918676669492,77.8211579175051,13.4935559153208,16.866944894151,16.866944894151,16.866944894151,16.866944894151
P000122,Tablet,Samsung,335.6,24,AO.com,West Midlands,38,In-store,0,0.0,24.39,36-45,0.3018275147812424,77.8211579175051,23.48856669163917,29.360708364548962,29.360708364548962,26.424637528094067,26.424637528094067
P000123,Headphones,Beats,253.55,36,Currys,Wales,66,Marketplace,0,0.0,22.74,66+,0.1127104312600866,77.8211579175051,8.771256270041304,10.96407033755163,10.96407033755163,10.96407033755163,10.96407033755163
P000124,Charger,Apple,157.4,36,Argos,West Midlands,20,In-store,0,0.0,16.53,18-25,0.4295182725958262,77.8211579175051,33.425609320133795,41.78201165016724,45.96021281518397,45.96021281518397,45.96021281518397
P000125,Headphones,Bose,315.32,12,Currys,Scotland,22,In-store,0,0.0,28.31,18-25,0.3930011754034314,77.8211579175051,30.58380653283556,38.22975816604445,42.052733982648896,42.052733982648896,42.052733982648896
P000126,Phone,Apple,534.21,36,Argos,North West,64,Online,0,0.0,44.18,56-65,0.1208620711638222,77.8211579175051,9.405626326276549,11.757032907845685,11.757032907845685,11.757032907845685,11.757032907845685
P000127,Tablet,Amazon,321.28,24,AO.com,London,28,Online,0,0.0,30.66,26-35,0.3063373276430065,77.8211579175051,23.83952555053291,29.799406938166136,29.799406938166136,26.819466244349524,26.819466244349524
P000128,Refrigerator,Bosch,24.13,12,AO.com,Scotland,47,Online,0,0.0,7.44,46-55,0.2254390958181525,77.8211579175051,17.54393147644401,21.929914345555012,21.929914345555012,21.929914345555012,21.929914345555012
P000129,Headphones,Beats,154.62,12,Argos,London,55,Online,0,0.0,15.03,46-55,0.2384423892707036,77.8211579175051,18.55586282966265,23.194828537078315,23.194828537078315,23.194828537078315,23.194828537078315
